asins,ean,upc,dimension,weight,keys,product_id
B0168YIWSI,890000000000.0,890000000000.0,11.6 in x 8.5 in x 0.19 in,1.1 pounds,"microsoftsurfacepro4typecoverwithfingerprintid/4562009,microsoftsurfacepro4typecoverwithfingerprintid/554687153,889842011050,0889842011050,microsoftsurfacepro4typecoverwithfingerprintid/mirh700001,microsoftsurfacepro4typecoverwithfingerprintid/n82e16834735100,microsoftsurfacepro4typecoverwithfingerprintid/b0168yiwsi,microsoft/rh700001",AVpf3txeLJeJML43FN82
"B018K251JE,B00VILQKQ8",,642000000000.0,16.0 in x 14.0 in x 12.0 in,14.55 pounds,"boytone2500w21chhometheatersystemblackdiamond/b018k251je,boytone2500w21chhometheatersystemblackdiamond/4784804,boytone2500w21chhometheatersystemblackdiamond/b00vilqkq8,boytone/bt210f,boytone2500w21chhometheatersystemblackdiamond/554725012,642014746682",AVpgMuGwLJeJML43KY_c
B00C78VIUE,,794000000000.0,22 x 3.1 x 35 inches,32.8 pounds,"sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/savlf410b1,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/b00c78viue,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/5689019,sanus/vlf410b1,793795525420",AVphzgbJLJeJML43fA0o
B075WKS4D8,,97855134431.0,3.5 x 3.5 x 9.3 inches,3.8 pounds,"ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6172046,ultimateears984000911megablastportablewifibluetoothspeakerwithhandsfreeamazonalexavoicecontrolwaterproofgraphiteblack/b075wks4d8,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6172043,ultimateearsmegablastportablewifibluetoothspeakerwithhandsfreeamazonalexavoicecontrolwaterproofgraphiteblack/b075wks4d8,ultimateears/984000911,097855134431,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6019903,ultimateearsmegablastsmartportablewifibluetoothspeakerwithamazonalexavoiceassistantgraphite/6019902",AWIm0C3TYSSHbkXwx3S6
B000YA33DC,56035351853.0,56035351853.0,Inconnue,2.87 lbs,"flipside300backpackblack/1446571,056035351853,0056035351853,lowepro/lp35185,flipside300backpackblack/555140249,flipside300backpackblack/lofs300b,flipside300backpackblack/301763910701,flipside300backpackblack/b000ya33dc",AVpfnp8HLJeJML43AmVi
B00505EZYW,,844000000000.0,13 in x 7.1 in x 2 in,0.8 ounces,"corsaircmsa8gx3m2a1066c7apple8gbdualchannelkitddr31066pc38500204pinddr3laptopsodimmmemory15v/b00505ezyw,corsair8gb2pkx4gb10ghzddr3sodimmlaptopmemorykitgreen/2824528,corsair8gb2pkx4gb10ghzddr3sodimmlaptopmemorykitgreen/b00505ezyw,843591013857,corsair/cmsa8gx3m2a1066c7",AV1YFmcQglJLPUi8IGd1
B00WBS31OQ,,47532907711.0,2.1 in x 6.5 in x 3.1 in,12.5 ounces,"047532907711,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/4525009,ihome/ibt33bc,sditechnologies/ibt33bc,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/555013051,ihomerechargeablesplashproofstereobluetoothspeakerblackibt33bc/b00wbs31oq,ihomerechargeablesplashproofstereobluetoothspeakerwithspeakerphone/b00wbs31oq",AVpgF1BOilAPnD_xnTsK
"B0172DS3ME,B00NTJKAXG",649000000000.0,649000000000.0,Inconnue,14.4 ounces,"verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/b0172ds3me,novatel/mifi6620l,verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/9940096,649496019587,verizonmifi6620ljetpack4gltemobilehotspotverizonwireless/b00ntjkaxg,0649496019587,verizonwireless/mifi6620l",AVpiUMISilAPnD_xC-hu
B00R5WGT2E,,46838070990.0,Inconnue,1.8 pounds,"jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/553496725,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/b00r5wgt2e,046838070990,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/1517965,jvckdx320btsappleipodandroiddigitalmediareceiverwithbluetooth/9sia0za2v93665,jvc/kdx320bts",AVpfIjJULJeJML433Ga2
B00V631478,,50036322355.0,Inconnue,4.2 pounds,"050036322355,jbl/gx862,jbl6x82waycoaxialcarspeakerswithpolypropyleneconespairblack/8038064,jbl6x82waycoaxialcarspeakerswithpolypropyleneconespairblack/b00v631478",AVphRsH11cnluZ0-Agzr
B009AEMB6I,,887000000000.0,9.1 in x 5.9 in x 2.8 in,12.8 ounces,"887263410049,lenovoidea/45wslimacadapter88801419,lenovoacadapterforselectlenovoyogalaptopsblack/4020023,lenovoacadapterforselectlenovoyogalaptopsblack/554387852,lenovoacadapterforselectlenovoyogalaptopsblack/b009aemb6i,lenovo/45wslimacadapter88801419",AVpf24SVLJeJML43FAIX
